year,url,link_text,relative_path,canonical_name,bytes,status
2026,http://fe2025.mahacet.org/2022/2022SeatMatrix.pdf,View,Seat_Matrix/Institute_wise/2022SeatMatrix.pdf,Seat_Matrix_Institute_wise_2026.pdf,8749286,downloaded
2026,http://fe2025.mahacet.org/2023/2023SeatMatrix.pdf,View,Seat_Matrix/Institute_wise/2023SeatMatrix.pdf,Seat_Matrix_Institute_wise_2026.pdf,9317893,downloaded
2026,http://fe2025.mahacet.org/2024/2024SeatMatrix.pdf,View,Seat_Matrix/Institute_wise/2024SeatMatrix.pdf,Seat_Matrix_Institute_wise_2026.pdf,10135589,downloaded
